Day,Date,PageViews,Sessions,Visitors,NewVisitors
Thursday,2021-05-20,37,25,22,17
Friday,2021-05-21,22,18,18,17
Saturday,2021-05-22,37,25,20,17
Sunday,2021-05-23,46,23,14,11
Monday,2021-05-24,33,28,25,20
Tuesday,2021-05-25,36,27,24,18
Wednesday,2021-05-26,27,24,18,15
Thursday,2021-05-27,34,21,20,17
Friday,2021-05-28,20,15,14,10
Saturday,2021-05-29,30,24,22,20
Sunday,2021-05-30,17,10,10,9
Monday,2021-05-31,19,14,13,10
Tuesday,2021-06-01,18,15,13,11
Wednesday,2021-06-02,24,20,18,15
Thursday,2021-06-03,27,23,19,17
Friday,2021-06-04,23,15,13,10
Saturday,2021-06-05,18,10,10,4
Sunday,2021-06-06,11,8,8,6
Monday,2021-06-07,17,14,13,10
Tuesday,2021-06-08,11,11,9,7
Wednesday,2021-06-09,15,13,13,13
Thursday,2021-06-10,28,19,19,16
Friday,2021-06-11,20,18,18,13
Saturday,2021-06-12,8,8,8,8
Sunday,2021-06-13,7,5,4,4
Monday,2021-06-14,25,20,18,16
Tuesday,2021-06-15,18,14,14,12
Wednesday,2021-06-16,17,12,12,10
Thursday,2021-06-17,26,19,16,15
Friday,2021-06-18,11,11,10,9
Saturday,2021-06-19,9,7,6,5
Sunday,2021-06-20,16,15,13,13
Monday,2021-06-21,30,15,13,13
Tuesday,2021-06-22,19,15,15,14
Wednesday,2021-06-23,34,23,19,18
Thursday,2021-06-24,110,78,69,63
Friday,2021-06-25,51,33,24,14
Saturday,2021-06-26,10,10,10,6
Sunday,2021-06-27,17,13,13,11
Monday,2021-06-28,188,69,60,50
Tuesday,2021-06-29,63,41,34,32
Wednesday,2021-06-30,135,114,110,103
Thursday,2021-07-01,179,130,112,99
Friday,2021-07-02,219,147,130,122
Saturday,2021-07-03,162,84,72,57
Sunday,2021-07-04,144,78,68,53
Monday,2021-07-05,74,44,39,32
Tuesday,2021-07-06,222,132,115,104
Wednesday,2021-07-07,136,76,60,51
Thursday,2021-07-08,178,85,68,54
Friday,2021-07-09,96,47,32,24
Saturday,2021-07-10,218,53,39,29
Sunday,2021-07-11,86,56,43,34
Monday,2021-07-12,115,88,69,56
Tuesday,2021-07-13,285,213,186,174
Wednesday,2021-07-14,200,130,111,100
Thursday,2021-07-15,123,77,71,59
Friday,2021-07-16,74,45,37,32
Saturday,2021-07-17,526,369,329,316
Sunday,2021-07-18,489,325,285,261
Monday,2021-07-19,166,107,89,70
Tuesday,2021-07-20,91,74,56,32
Wednesday,2021-07-21,107,76,56,38
Thursday,2021-07-22,397,319,253,228
Friday,2021-07-23,134,113,93,72
Saturday,2021-07-24,64,51,44,31
Sunday,2021-07-25,104,62,53,34
Monday,2021-07-26,150,96,76,59
